Unnamed: 0,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector,Cluster
88,Clarence Page: Elon Musk not so ‘absolutist’ about free speech when it comes from his critics,-0.0336690592666855,Elon Musk used to call himself a “free speech” absolutist until some of his critics a focused their speech on him.,0.0675542476819828,Clarence Page,-0.0032395177986472,4
89,"Editorial: On 60th anniversary of JFK’s assassination, a fresh look at the day that changed everything",-0.0868751757279824,"Sixty years after the assassination of President John F. Kennedy, conspiracy theories still reveal how little we trust government.",0.0599149513873271,The Editorial Board,0.054185784450965,3
90,Rose Miron: The story of Chicago’s founding erases centuries of contributions from Indigenous peoples,-0.0539098936133086,"Long before Jean Baptiste Point DuSable, a dozen Indigenous nations used Chicago as a center for trade and had more permanent village sites.",0.0596424034010851,Rose Miron,0.0367949064821004,3
91,Want to drive past the ‘Home Alone’ house? Or the church? A tour of 12 filming locations around Chicago.,-0.0774839616497047,"Watching the 1990 film “Home Alone” has become a must-see each December. With so many of the filming locations nearby, it’s a quick trip to see them.",0.0689449313795194,Kori Rumore,0.0356853784178383,3
92,The Trade That Backfired for America’s Biggest Wood-Pellet Exporter,-0.0275016082123329,"Enviva made a wager to buy pellets from a customer and resell them, but then prices fell",0.0296413192991167,Ryan Dezember,-0.0019271087076049,1
93,Ask Amy: I have hit a stalemate with my mother,-0.0230520766053814,"Dear Amy: We were always politely distant, but now that my father has died, the distance between my mother and me has grown.",0.0232121526496484,Amy Dickinson,0.0063502034172415,1
94,Planting 'koala corridors' to save Australia's endangered marsupial,-0.0623677758267149,"When Lucy was rescued from a rural property in New South Wales two years ago, she was suffering from chlamydia, a disease widespread among koalas.",0.0652420923579484,Jill Gralow,-0.0224900764515041,1
95,Citi makes new appointments in Asia Pacific as part of restructuring,-0.080182509496808,"Citigroup <a href=""https://www.reuters.com/markets/companies/C.N"" target=""_blank"">(C.N)</a> has made new appointments in Asia Pacific following a sweeping global reorganization the U.S. bank announced on Monday, according to a person with direct knowledge of …",0.1216019774365122,Selena Li,0.0539775021607056,2
96,Why carbon capture is no easy solution to climate change,0.0029749950044788,Technologies that capture carbon dioxide emissions to keep them from the atmosphere are central to the climate strategies of many world governments as they seek to follow through on international commitments to decarbonize by mid-century.,0.113218062906526,Leah Douglas,0.0152268555830232,4
97,‘Midwestern Food’ Review: Hungry for the Heartland,0.0058120678877457,"Proudly asserting the culinary bona fides of a region so diverse, even its residents sometimes disagree on the definition of ‘Midwestern.’",0.0494657207309501,J. Ryan Stradal,-0.0050124841509386,1
98,"Kenneth Cooley’s basketball coach calls him Mr. Touchdown, but he does more than score for East Aurora. ‘Everything.’",-0.0894731350126676,"Kenneth Cooley, who starred on the football field as East Aurora made the playoffs for the first time in 40 years, is back on the basketball court.",0.1133832108462229,Rick Armstrong,0.0230581459181848,4
99,Economic models buckle under strain of climate reality,-0.0543167620198801,"Ahead of international climate talks in Dubai this month, economists are updating estimates of the impact of global warming on the world economy, sometimes calculating down to a decimal place the hit to output in decades to come.",0.0316107364051276,Mark John,0.1123610880458727,0
